time,gyro_x,gyro_y,gyro_z,absolute,activity
0 days 00:00:00,-1.8,0.139,-0.618,1.9,walking
0 days 00:00:00.010000,-1.77,0.224,-0.63,1.89,walking
0 days 00:00:00.020000,-1.7,-0.00113,-0.452,1.76,walking
0 days 00:00:00.030000,-1.88,0.0483,-0.247,1.89,walking
0 days 00:00:00.040000,-2.02,0.633,-0.125,2.12,walking
0 days 00:00:00.050000,-1.88,0.826,0.25,2.07,walking
0 days 00:00:00.060000,-1.42,1.07,0.723,1.92,walking
0 days 00:00:00.070000,-0.851,1.13,1.02,1.75,walking
0 days 00:00:00.080000,-0.432,0.974,0.971,1.44,walking
0 days 00:00:00.090000,-0.158,0.548,0.658,0.87,walking
0 days 00:00:00.100000,0.0403,0.0506,0.286,0.293,walking
0 days 00:00:00.110000,0.169,-0.516,0.0462,0.545,walking
0 days 00:00:00.120000,0.229,-0.789,-0.143,0.834,walking
0 days 00:00:00.130000,0.265,-0.781,-0.204,0.849,walking
0 days 00:00:00.140000,0.253,-0.691,-0.0373,0.737,walking
0 days 00:00:00.150000,0.308,-0.489,0.0778,0.583,walking
0 days 00:00:00.160000,0.369,-0.319,0.241,0.544,walking
0 days 00:00:00.170000,0.436,-0.429,0.377,0.718,walking
0 days 00:00:00.180000,0.475,-0.468,0.432,0.794,walking
0 days 00:00:00.190000,0.453,-0.753,0.522,1.02,walking
0 days 00:00:00.200000,0.431,-1.14,0.522,1.32,walking
0 days 00:00:00.210000,0.449,-1.44,0.405,1.56,walking
0 days 00:00:00.220000,0.505,-1.54,0.248,1.64,walking
0 days 00:00:00.230000,0.602,-1.26,0.0665,1.4,walking
0 days 00:00:00.240000,0.695,-0.62,-0.111,0.938,walking
0 days 00:00:00.250000,0.747,0.0942,-0.321,0.818,walking
0 days 00:00:00.260000,0.708,0.624,-0.571,1.1,walking
0 days 00:00:00.270000,0.529,0.839,-0.808,1.28,walking
0 days 00:00:00.280000,0.246,0.489,-1.01,1.15,walking
0 days 00:00:00.290000,0.0176,-0.368,-1.13,1.19,walking
0 days 00:00:00.300000,-0.0669,-1.2,-1.1,1.63,walking
0 days 00:00:00.310000,0.00577,-1.63,-0.864,1.85,walking
0 days 00:00:00.320000,0.125,-1.57,-0.535,1.66,walking
0 days 00:00:00.330000,0.188,-1.36,-0.298,1.4,walking
0 days 00:00:00.340000,0.184,-0.948,-0.229,0.992,walking
0 days 00:00:00.350000,0.157,-0.421,-0.262,0.52,walking
0 days 00:00:00.360000,0.153,0.0139,-0.426,0.452,walking
0 days 00:00:00.370000,0.147,0.188,-0.632,0.675,walking
0 days 00:00:00.380000,0.138,0.141,-0.789,0.813,walking
0 days 00:00:00.390000,0.112,-0.0435,-0.819,0.827,walking
0 days 00:00:00.400000,0.0713,-0.306,-0.748,0.811,walking
0 days 00:00:00.410000,0.0309,-0.494,-0.63,0.802,walking
0 days 00:00:00.420000,0.00603,-0.543,-0.49,0.732,walking
0 days 00:00:00.430000,0.00858,-0.528,-0.354,0.635,walking
0 days 00:00:00.440000,0.0281,-0.453,-0.347,0.571,walking
0 days 00:00:00.450000,0.054,-0.296,-0.467,0.556,walking
0 days 00:00:00.460000,-0.0186,-0.0531,-0.562,0.564,walking
0 days 00:00:00.470000,-0.204,0.0829,-0.637,0.674,walking
0 days 00:00:00.480000,-0.375,0.00993,-0.627,0.731,walking
0 days 00:00:00.490000,-0.44,-0.139,-0.51,0.688,walking
0 days 00:00:00.500000,-0.402,-0.29,-0.374,0.622,walking
0 days 00:00:00.510000,-0.324,-0.402,-0.307,0.6,walking
0 days 00:00:00.520000,-0.264,-0.452,-0.335,0.621,walking
0 days 00:00:00.530000,-0.228,-0.46,-0.4,0.651,walking
0 days 00:00:00.540000,-0.204,-0.434,-0.446,0.655,walking
0 days 00:00:00.550000,-0.196,-0.358,-0.439,0.599,walking
0 days 00:00:00.560000,-0.192,-0.245,-0.425,0.527,walking
0 days 00:00:00.570000,-0.185,-0.177,-0.441,0.51,walking
0 days 00:00:00.580000,-0.159,-0.18,-0.474,0.531,walking
0 days 00:00:00.590000,-0.137,-0.233,-0.503,0.571,walking
0 days 00:00:00.600000,-0.157,-0.32,-0.538,0.645,walking
0 days 00:00:00.610000,-0.219,-0.38,-0.579,0.726,walking
0 days 00:00:00.620000,-0.264,-0.386,-0.591,0.754,walking
0 days 00:00:00.630000,-0.277,-0.364,-0.582,0.74,walking
0 days 00:00:00.640000,-0.228,-0.389,-0.553,0.714,walking
0 days 00:00:00.650000,-0.155,-0.378,-0.558,0.692,walking
0 days 00:00:00.660000,-0.124,-0.216,-0.532,0.587,walking
0 days 00:00:00.670000,-0.145,-0.245,-0.623,0.685,walking
0 days 00:00:00.680000,-0.247,-0.214,-0.652,0.73,walking
0 days 00:00:00.690000,-0.367,-0.112,-0.647,0.752,walking
0 days 00:00:00.700000,-0.467,-0.0818,-0.664,0.816,walking
0 days 00:00:00.710000,-0.54,-0.0969,-0.662,0.86,walking
0 days 00:00:00.720000,-0.564,-0.0858,-0.597,0.826,walking
0 days 00:00:00.730000,-0.527,-0.0598,-0.462,0.704,walking
0 days 00:00:00.740000,-0.448,-0.0564,-0.312,0.549,walking
0 days 00:00:00.750000,-0.4,-0.00223,-0.247,0.47,walking
0 days 00:00:00.760000,-0.414,0.0745,-0.28,0.506,walking
0 days 00:00:00.770000,-0.465,0.155,-0.355,0.606,walking
0 days 00:00:00.780000,-0.543,0.142,-0.406,0.693,walking
0 days 00:00:00.790000,-0.609,0.146,-0.387,0.736,walking
0 days 00:00:00.800000,-0.619,0.141,-0.289,0.697,walking
0 days 00:00:00.810000,-0.559,0.0598,-0.161,0.585,walking
0 days 00:00:00.820000,-0.455,-0.0174,-0.0188,0.456,walking
0 days 00:00:00.830000,-0.366,-0.0597,0.0895,0.381,walking
0 days 00:00:00.840000,-0.349,-0.113,0.149,0.396,walking
0 days 00:00:00.850000,-0.405,-0.0969,0.157,0.445,walking
0 days 00:00:00.860000,-0.48,-0.0252,0.154,0.505,walking
0 days 00:00:00.870000,-0.515,0.0487,0.149,0.538,walking
0 days 00:00:00.880000,-0.517,0.0916,0.122,0.539,walking
0 days 00:00:00.890000,-0.528,0.159,0.0515,0.554,walking
0 days 00:00:00.900000,-0.56,0.137,0.00655,0.577,walking
0 days 00:00:00.910000,-0.633,0.0611,0.0122,0.636,walking
0 days 00:00:00.920000,-0.704,-0.0298,-0.0236,0.705,walking
0 days 00:00:00.930000,-0.752,0.0733,0.048,0.757,walking
0 days 00:00:00.940000,-0.764,0.0323,0.115,0.774,walking
0 days 00:00:00.950000,-0.77,-0.0535,0.084,0.777,walking
0 days 00:00:00.960000,-0.83,-0.0856,-0.0119,0.835,walking
0 days 00:00:00.970000,-0.943,-0.0646,-0.119,0.953,walking
0 days 00:00:00.980000,-1.04,-0.0172,-0.161,1.05,walking
0 days 00:00:00.990000,-1.07,0.0548,-0.146,1.08,walking
0 days 00:00:01,-1.05,0.115,-0.126,1.07,walking
0 days 00:00:01.010000,-1.01,0.0977,-0.0857,1.02,walking
0 days 00:00:01.020000,-0.994,0.000293,-0.0434,0.995,walking
0 days 00:00:01.030000,-0.947,-0.339,-0.168,1.02,walking
0 days 00:00:01.040000,-0.905,-0.586,-0.21,1.1,walking
0 days 00:00:01.050000,-0.934,-0.516,-0.0891,1.07,walking
0 days 00:00:01.060000,-1.01,-0.466,-0.0128,1.12,walking
0 days 00:00:01.070000,-1.15,-0.54,0.00504,1.27,walking
0 days 00:00:01.080000,-1.37,-0.563,0.0158,1.48,walking
0 days 00:00:01.090000,-1.66,-0.564,0.0368,1.75,walking
0 days 00:00:01.100000,-1.95,-0.567,0.0541,2.04,walking
0 days 00:00:01.110000,-2.17,-0.588,0.102,2.25,walking
0 days 00:00:01.120000,-2.28,-0.592,0.172,2.36,walking
0 days 00:00:01.130000,-2.28,-0.578,0.227,2.36,walking
0 days 00:00:01.140000,-2.18,-0.592,0.248,2.27,walking
0 days 00:00:01.150000,-2.01,-0.636,0.271,2.12,walking
0 days 00:00:01.160000,-1.82,-0.659,0.31,1.96,walking
0 days 00:00:01.170000,-1.65,-0.671,0.366,1.82,walking
0 days 00:00:01.180000,-1.44,-0.941,0.357,1.76,walking
0 days 00:00:01.190000,-0.955,-1.3,0.217,1.63,walking
0 days 00:00:01.200000,-0.503,-1.22,0.152,1.33,walking
0 days 00:00:01.210000,-0.156,-1.05,0.227,1.09,walking
0 days 00:00:01.220000,0.019,-1.02,0.422,1.1,walking
0 days 00:00:01.230000,0.0412,-0.965,0.629,1.15,walking
0 days 00:00:01.240000,-0.0795,-0.909,0.75,1.18,walking
0 days 00:00:01.250000,-0.321,-0.93,0.801,1.27,walking
0 days 00:00:01.260000,-0.654,-0.993,0.831,1.45,walking
0 days 00:00:01.270000,-1.05,-1.04,0.887,1.73,walking
0 days 00:00:01.280000,-1.51,-1.15,1,2.15,walking
0 days 00:00:01.290000,-1.96,-1.27,1.19,2.63,walking
0 days 00:00:01.300000,-2.35,-1.38,1.38,3.05,walking
0 days 00:00:01.310000,-2.6,-1.41,1.48,3.31,walking
0 days 00:00:01.320000,-2.71,-1.31,1.46,3.35,walking
0 days 00:00:01.330000,-2.69,-1.13,1.3,3.19,walking
0 days 00:00:01.340000,-2.57,-0.931,1,2.91,walking
0 days 00:00:01.350000,-2.42,-0.889,0.608,2.65,walking
0 days 00:00:01.360000,-2.29,-1.26,0.353,2.64,walking
0 days 00:00:01.370000,-2.2,-1.61,0.322,2.74,walking
0 days 00:00:01.380000,-2.24,-1.67,0.435,2.83,walking
0 days 00:00:01.390000,-2.48,-1.84,0.509,3.13,walking
0 days 00:00:01.400000,-2.83,-2.07,0.571,3.55,walking
0 days 00:00:01.410000,-3.05,-2.16,0.631,3.79,walking
0 days 00:00:01.420000,-3.03,-2.13,0.624,3.75,walking
0 days 00:00:01.430000,-2.78,-2.11,0.515,3.53,walking
0 days 00:00:01.440000,-2.41,-2.04,0.341,3.18,walking
0 days 00:00:01.450000,-2.01,-1.99,0.23,2.84,walking
0 days 00:00:01.460000,-1.67,-1.93,0.25,2.56,walking
0 days 00:00:01.470000,-1.45,-1.92,0.358,2.44,walking
0 days 00:00:01.480000,-1.38,-1.95,0.447,2.43,walking
0 days 00:00:01.490000,-1.39,-1.92,0.443,2.41,walking
0 days 00:00:01.500000,-1.41,-1.82,0.359,2.33,walking
0 days 00:00:01.510000,-1.41,-1.71,0.255,2.23,walking
0 days 00:00:01.520000,-1.35,-1.64,0.149,2.13,walking
0 days 00:00:01.530000,-1.21,-1.62,0.0782,2.02,walking
0 days 00:00:01.540000,-0.956,-1.61,0.0269,1.87,walking
0 days 00:00:01.550000,-0.608,-1.58,-0.0338,1.7,walking
0 days 00:00:01.560000,-0.249,-1.56,-0.121,1.58,walking
0 days 00:00:01.570000,0.0625,-1.69,-0.237,1.71,walking
0 days 00:00:01.580000,0.272,-1.88,-0.345,1.93,walking
0 days 00:00:01.590000,0.312,-2.06,-0.408,2.12,walking
0 days 00:00:01.600000,0.216,-2.17,-0.479,2.23,walking
0 days 00:00:01.610000,0.0628,-2.21,-0.624,2.3,walking
0 days 00:00:01.620000,-0.0129,-2.31,-0.735,2.43,walking
0 days 00:00:01.630000,-0.0473,-2.29,-0.772,2.42,walking
0 days 00:00:01.640000,-0.0695,-2.17,-0.803,2.31,walking
0 days 00:00:01.650000,-0.177,-1.96,-0.922,2.17,walking
0 days 00:00:01.660000,-0.379,-1.79,-1.07,2.12,walking
0 days 00:00:01.670000,-0.498,-1.63,-1.11,2.03,walking
0 days 00:00:01.680000,-0.593,-1.4,-1.08,1.87,walking
0 days 00:00:01.690000,-0.718,-1.13,-1.05,1.7,walking
0 days 00:00:01.700000,-0.867,-0.836,-1.08,1.62,walking
0 days 00:00:01.710000,-1.04,-0.6,-1.14,1.66,walking
0 days 00:00:01.720000,-1.21,-0.385,-1.22,1.76,walking
0 days 00:00:01.730000,-1.3,-0.202,-1.3,1.85,walking
0 days 00:00:01.740000,-1.29,-0.182,-1.32,1.85,walking
0 days 00:00:01.750000,-1.2,-0.326,-1.29,1.79,walking
0 days 00:00:01.760000,-1.1,-0.589,-1.17,1.71,walking
0 days 00:00:01.770000,-1.05,-0.78,-1.02,1.65,walking
0 days 00:00:01.780000,-1.04,-0.785,-0.914,1.59,walking
0 days 00:00:01.790000,-1.07,-0.646,-0.889,1.53,walking
0 days 00:00:01.800000,-1.1,-0.404,-0.93,1.49,walking
0 days 00:00:01.810000,-1.09,-0.0782,-0.988,1.47,walking
0 days 00:00:01.820000,-0.999,0.202,-1.02,1.44,walking
0 days 00:00:01.830000,-0.846,0.338,-1.01,1.36,walking
0 days 00:00:01.840000,-0.668,0.352,-0.974,1.23,walking
0 days 00:00:01.850000,-0.52,0.273,-0.914,1.09,walking
0 days 00:00:01.860000,-0.421,0.157,-0.811,0.928,walking
0 days 00:00:01.870000,-0.433,0.0165,-0.594,0.735,walking
0 days 00:00:01.880000,-0.529,-0.0345,-0.479,0.715,walking
0 days 00:00:01.890000,-0.644,0.0444,-0.471,0.799,walking
0 days 00:00:01.900000,-0.645,0.144,-0.472,0.813,walking
0 days 00:00:01.910000,-0.532,0.231,-0.48,0.753,walking
0 days 00:00:01.920000,-0.381,0.276,-0.474,0.668,walking
0 days 00:00:01.930000,-0.283,0.256,-0.435,0.578,walking
0 days 00:00:01.940000,-0.243,0.135,-0.377,0.468,walking
0 days 00:00:01.950000,-0.206,-0.0943,-0.351,0.417,walking
0 days 00:00:01.960000,-0.203,-0.234,-0.355,0.472,walking
0 days 00:00:01.970000,-0.166,-0.34,-0.379,0.535,walking
0 days 00:00:01.980000,-0.106,-0.405,-0.396,0.576,walking
0 days 00:00:01.990000,-0.0666,-0.436,-0.392,0.59,walking
0 days 00:00:02,-0.086,-0.404,-0.367,0.552,walking
0 days 00:00:02.010000,-0.111,-0.347,-0.346,0.502,walking
0 days 00:00:02.020000,-0.108,-0.3,-0.34,0.466,walking
0 days 00:00:02.030000,-0.0621,-0.273,-0.329,0.432,walking
0 days 00:00:02.040000,0.026,-0.231,-0.347,0.418,walking
0 days 00:00:02.050000,0.0978,-0.129,-0.395,0.427,walking
0 days 00:00:02.060000,0.121,0.014,-0.424,0.441,walking
0 days 00:00:02.070000,0.111,0.0547,-0.437,0.454,walking
0 days 00:00:02.080000,0.0622,0.00827,-0.4,0.405,walking
0 days 00:00:02.090000,0.000719,-0.0578,-0.294,0.3,walking
0 days 00:00:02.100000,-0.053,-0.066,-0.223,0.239,walking
0 days 00:00:02.110000,-0.0869,0.00733,-0.259,0.273,walking
0 days 00:00:02.120000,-0.0989,0.0904,-0.408,0.429,walking
0 days 00:00:02.130000,-0.076,0.0366,-0.543,0.549,walking
0 days 00:00:02.140000,0.00556,0.0766,-0.565,0.57,walking
0 days 00:00:02.150000,0.144,0.213,-0.451,0.519,walking
0 days 00:00:02.160000,0.245,0.144,-0.346,0.448,walking
0 days 00:00:02.170000,0.247,0.0389,-0.253,0.355,walking
0 days 00:00:02.180000,0.179,0.0334,-0.151,0.237,walking
0 days 00:00:02.190000,0.106,0.0461,-0.0877,0.145,walking
0 days 00:00:02.200000,0.0828,0.0341,-0.0793,0.12,walking
0 days 00:00:02.210000,0.0718,-0.0161,-0.0481,0.0879,walking
0 days 00:00:02.220000,-0.0488,-0.174,0.0982,0.205,walking
0 days 00:00:02.230000,-0.174,-0.152,0.196,0.303,walking
0 days 00:00:02.240000,-0.264,-0.104,0.21,0.353,walking
0 days 00:00:02.250000,-0.284,-0.0212,0.151,0.322,walking
0 days 00:00:02.260000,-0.296,0.0287,0.106,0.315,walking
0 days 00:00:02.270000,-0.289,0.0428,0.152,0.33,walking
0 days 00:00:02.280000,-0.254,0.0309,0.277,0.377,walking
0 days 00:00:02.290000,-0.276,0.106,0.434,0.525,walking
0 days 00:00:02.300000,-0.216,0.0267,0.581,0.621,walking
0 days 00:00:02.310000,-0.0842,-0.148,0.679,0.7,walking
0 days 00:00:02.320000,-0.0342,-0.315,0.665,0.736,walking
0 days 00:00:02.330000,-0.0969,-0.353,0.558,0.667,walking
0 days 00:00:02.340000,-0.16,-0.352,0.48,0.617,walking
0 days 00:00:02.350000,-0.163,-0.245,0.481,0.564,walking
0 days 00:00:02.360000,-0.116,-0.186,0.531,0.574,walking
0 days 00:00:02.370000,-0.0508,-0.133,0.653,0.668,walking
0 days 00:00:02.380000,0.0421,-0.0435,0.83,0.832,walking
0 days 00:00:02.390000,0.107,0.0339,1.06,1.06,walking
0 days 00:00:02.400000,0.124,-0.0677,1.09,1.1,walking
0 days 00:00:02.410000,0.114,-0.311,0.864,0.926,walking
0 days 00:00:02.420000,0.112,-0.414,0.648,0.777,walking
0 days 00:00:02.430000,0.151,-0.393,0.614,0.744,walking
0 days 00:00:02.440000,0.216,-0.306,0.701,0.794,walking
0 days 00:00:02.450000,0.312,-0.191,0.86,0.934,walking
0 days 00:00:02.460000,0.415,-0.0689,1.05,1.13,walking
0 days 00:00:02.470000,0.511,0.0932,1.27,1.37,walking
0 days 00:00:02.480000,0.589,0.305,1.58,1.71,walking
0 days 00:00:02.490000,0.583,0.291,1.82,1.94,walking
0 days 00:00:02.500000,0.488,-0.212,1.67,1.75,walking
0 days 00:00:02.510000,0.369,-0.776,1.27,1.53,walking
0 days 00:00:02.520000,0.236,-1.26,0.873,1.55,walking
0 days 00:00:02.530000,0.0499,-1.44,0.541,1.53,walking
0 days 00:00:02.540000,-0.0505,-1.21,0.438,1.29,walking
0 days 00:00:02.550000,-0.0267,-0.963,0.474,1.07,walking
0 days 00:00:02.560000,0.0287,-0.822,0.587,1.01,walking
0 days 00:00:02.570000,0.0978,-0.73,0.773,1.07,walking
0 days 00:00:02.580000,0.0414,-0.665,1.02,1.21,walking
0 days 00:00:02.590000,-0.145,-0.556,1.31,1.43,walking
0 days 00:00:02.600000,-0.385,-0.798,1.56,1.8,walking
0 days 00:00:02.610000,-0.555,-1.2,1.68,2.14,walking
0 days 00:00:02.620000,-0.63,-1.45,1.69,2.31,walking
0 days 00:00:02.630000,-0.598,-1.55,1.59,2.3,walking
0 days 00:00:02.640000,-0.384,-1.47,1.45,2.1,walking
0 days 00:00:02.650000,-0.124,-1.14,1.32,1.75,walking
0 days 00:00:02.660000,0.0641,-0.592,1.3,1.43,walking
0 days 00:00:02.670000,0.134,-0.0922,1.38,1.39,walking
0 days 00:00:02.680000,0.171,0.247,1.38,1.41,walking
0 days 00:00:02.690000,0.227,0.289,1.32,1.37,walking
0 days 00:00:02.700000,0.325,-0.0116,1.19,1.23,walking
0 days 00:00:02.710000,0.707,-0.829,0.939,1.44,walking
0 days 00:00:02.720000,1.31,-1.33,0.682,1.99,walking
0 days 00:00:02.730000,1.82,-1.49,0.496,2.4,walking
0 days 00:00:02.740000,2.22,-1.56,0.346,2.73,walking
0 days 00:00:02.750000,2.54,-1.51,0.302,2.97,walking
0 days 00:00:02.760000,2.74,-1.38,0.388,3.09,walking
0 days 00:00:02.770000,2.67,-1.4,0.563,3.06,walking
0 days 00:00:02.780000,2.35,-1.39,0.769,2.84,walking
0 days 00:00:02.790000,1.81,-1.24,0.973,2.4,walking
0 days 00:00:02.800000,1.09,-0.97,1.16,1.87,walking
0 days 00:00:02.810000,0.32,-0.579,1.31,1.47,walking
0 days 00:00:02.820000,-0.387,-0.177,1.44,1.5,walking
0 days 00:00:02.830000,-0.887,0.223,1.58,1.83,walking
0 days 00:00:02.840000,-1.17,0.541,1.76,2.18,walking
0 days 00:00:02.850000,-1.28,0.517,1.88,2.33,walking
0 days 00:00:02.860000,-1.26,0.153,1.81,2.21,walking
0 days 00:00:02.870000,-1.12,-0.159,1.53,1.91,walking
0 days 00:00:02.880000,-0.863,-0.167,1.12,1.42,walking
0 days 00:00:02.890000,-0.542,0.0404,0.729,0.909,walking
0 days 00:00:02.900000,-0.234,0.211,0.478,0.573,walking
0 days 00:00:02.910000,-0.0337,0.229,0.339,0.41,walking
0 days 00:00:02.920000,0.0201,-0.0364,0.317,0.32,walking
0 days 00:00:02.930000,-0.114,-0.439,0.395,0.601,walking
0 days 00:00:02.940000,-0.361,-0.746,0.473,0.954,walking
0 days 00:00:02.950000,-0.641,-1.05,0.576,1.36,walking
0 days 00:00:02.960000,-0.88,-1.18,0.77,1.66,walking
0 days 00:00:02.970000,-1.04,-1.21,0.988,1.88,walking
0 days 00:00:02.980000,-1.07,-1.05,1.2,1.92,walking
0 days 00:00:02.990000,-0.996,-0.983,1.42,1.99,walking
0 days 00:00:03,-0.878,-1.12,1.66,2.19,walking
0 days 00:00:03.010000,-0.756,-1.27,1.87,2.39,walking
0 days 00:00:03.020000,-0.659,-0.833,1.9,2.18,walking
0 days 00:00:03.030000,-0.542,-0.271,1.34,1.47,walking
0 days 00:00:03.040000,-0.201,0.211,0.212,0.361,walking
0 days 00:00:03.050000,0.158,0.304,-0.637,0.724,walking
0 days 00:00:03.060000,0.224,0.0577,-0.913,0.942,walking
0 days 00:00:03.070000,0.229,-0.107,-1.04,1.07,walking
0 days 00:00:03.080000,0.371,-0.0919,-1.16,1.22,walking
0 days 00:00:03.090000,0.608,-0.0603,-1.22,1.37,walking
0 days 00:00:03.100000,0.812,-0.127,-0.925,1.24,walking
0 days 00:00:03.110000,0.868,-0.0376,-0.352,0.938,walking
0 days 00:00:03.120000,0.804,-0.0287,0.181,0.824,walking
0 days 00:00:03.130000,1.06,-0.469,0.551,1.28,walking
0 days 00:00:03.140000,1.36,-0.209,0.852,1.62,walking
0 days 00:00:03.150000,1.52,1.38,1.05,2.3,walking
0 days 00:00:03.160000,1.24,2.24,1.47,2.96,walking
0 days 00:00:03.170000,0.754,2.41,2.47,3.53,walking
0 days 00:00:03.180000,0.183,2.55,3.88,4.65,walking
0 days 00:00:03.190000,-0.261,1.85,5.3,5.62,walking
0 days 00:00:03.200000,-0.552,0.94,6.44,6.53,walking
0 days 00:00:03.210000,-0.578,0.381,7.28,7.31,walking
0 days 00:00:03.220000,-0.469,0.967,7.85,7.93,walking
0 days 00:00:03.230000,-0.13,0.849,8.19,8.23,walking
0 days 00:00:03.240000,0.433,-0.262,8.19,8.21,walking
0 days 00:00:03.250000,1.04,-0.621,7.79,7.88,walking
0 days 00:00:03.260000,1.29,-0.142,7.69,7.8,walking
0 days 00:00:03.270000,1.49,0.599,7.96,8.12,walking
0 days 00:00:03.280000,1.77,1.83,8.53,8.91,walking
0 days 00:00:03.290000,2.09,3.42,8.91,9.76,walking
0 days 00:00:03.300000,2.31,4.9,8.86,10.4,walking
0 days 00:00:03.310000,2.41,6.17,8.39,10.7,walking
0 days 00:00:03.320000,2.37,7.48,7.79,11.1,walking
0 days 00:00:03.330000,2.31,8.28,5.46,10.2,walking
0 days 00:00:03.340000,2.98,7.87,-0.0654,8.41,walking
0 days 00:00:03.350000,3.62,5.75,-3.54,7.66,walking
0 days 00:00:03.360000,3.18,1.85,-3.41,5.02,walking
0 days 00:00:03.370000,2.69,-1.45,-2.25,3.8,walking
0 days 00:00:03.380000,2.5,-2.92,-1.24,4.04,walking
0 days 00:00:03.390000,2.06,-2.45,-0.468,3.24,walking
0 days 00:00:03.400000,1.35,-1.42,0.142,1.96,walking
0 days 00:00:03.410000,0.522,-0.739,0.576,1.07,walking
0 days 00:00:03.420000,-0.15,-0.335,0.751,0.836,walking
0 days 00:00:03.430000,-0.516,-0.227,0.659,0.867,walking
0 days 00:00:03.440000,-0.599,-0.384,0.449,0.841,walking
0 days 00:00:03.450000,-0.414,-0.48,0.299,0.701,walking
0 days 00:00:03.460000,-0.0304,-0.512,0.271,0.58,walking
0 days 00:00:03.470000,0.399,-0.562,0.298,0.751,walking
0 days 00:00:03.480000,0.796,-0.626,0.272,1.05,walking
0 days 00:00:03.490000,1.05,-0.691,0.157,1.27,walking
0 days 00:00:03.500000,1.17,-0.543,0.092,1.29,walking
0 days 00:00:03.510000,1.16,-0.206,0.0582,1.18,walking
0 days 00:00:03.520000,1.06,0.0607,0.00138,1.06,walking
0 days 00:00:03.530000,0.926,0.221,-0.0664,0.954,walking
0 days 00:00:03.540000,0.829,0.267,-0.12,0.879,walking
0 days 00:00:03.550000,0.786,0.212,-0.147,0.827,walking
0 days 00:00:03.560000,0.803,0.119,-0.179,0.832,walking
0 days 00:00:03.570000,0.856,0.0184,-0.223,0.885,walking
0 days 00:00:03.580000,0.923,-0.0341,-0.255,0.958,walking
0 days 00:00:03.590000,0.98,-0.0175,-0.262,1.01,walking
0 days 00:00:03.600000,0.997,-0.000141,-0.272,1.03,walking
0 days 00:00:03.610000,0.978,0.0539,-0.265,1.02,walking
0 days 00:00:03.620000,0.948,0.192,-0.24,0.997,walking
0 days 00:00:03.630000,0.891,0.341,-0.208,0.977,walking
0 days 00:00:03.640000,0.834,0.497,-0.178,0.986,walking
0 days 00:00:03.650000,0.805,0.64,-0.149,1.04,walking
0 days 00:00:03.660000,0.777,0.675,-0.114,1.04,walking
0 days 00:00:03.670000,0.73,0.67,-0.0973,0.996,walking
0 days 00:00:03.680000,0.666,0.664,-0.12,0.948,walking
0 days 00:00:03.690000,0.6,0.588,-0.117,0.848,walking
0 days 00:00:03.700000,0.555,0.469,-0.109,0.735,walking
0 days 00:00:03.710000,0.518,0.405,-0.117,0.668,walking
0 days 00:00:03.720000,0.551,0.529,-0.109,0.772,walking
0 days 00:00:03.730000,0.563,0.537,-0.123,0.788,walking
0 days 00:00:03.740000,0.567,0.496,-0.152,0.768,walking
0 days 00:00:03.750000,0.562,0.47,-0.182,0.755,walking
0 days 00:00:03.760000,0.561,0.475,-0.213,0.765,walking
0 days 00:00:03.770000,0.572,0.519,-0.231,0.806,walking
0 days 00:00:03.780000,0.578,0.563,-0.242,0.843,walking
0 days 00:00:03.790000,0.595,0.635,-0.248,0.905,walking
0 days 00:00:03.800000,0.587,0.694,-0.271,0.948,walking
0 days 00:00:03.810000,0.562,0.699,-0.303,0.946,walking
0 days 00:00:03.820000,0.517,0.713,-0.322,0.937,walking
0 days 00:00:03.830000,0.443,0.672,-0.371,0.886,walking
0 days 00:00:03.840000,0.347,0.625,-0.396,0.818,walking
0 days 00:00:03.850000,0.22,0.611,-0.416,0.772,walking
0 days 00:00:03.860000,0.0768,0.654,-0.429,0.786,walking
0 days 00:00:03.870000,-0.0513,0.709,-0.428,0.83,walking
0 days 00:00:03.880000,-0.121,0.732,-0.437,0.861,walking
0 days 00:00:03.890000,-0.142,0.691,-0.471,0.848,walking
0 days 00:00:03.900000,-0.143,0.62,-0.491,0.804,walking
0 days 00:00:03.910000,-0.159,0.546,-0.484,0.747,walking
0 days 00:00:03.920000,-0.216,0.506,-0.396,0.678,walking
0 days 00:00:03.930000,-0.288,0.467,-0.217,0.59,walking
0 days 00:00:03.940000,-0.301,0.342,-0.0335,0.457,walking
0 days 00:00:03.950000,-0.225,0.211,0.129,0.334,walking
0 days 00:00:03.960000,-0.123,0.0773,0.227,0.269,walking
0 days 00:00:03.970000,-0.0661,-0.132,0.212,0.259,walking
0 days 00:00:03.980000,-0.0541,-0.451,0.11,0.467,walking
0 days 00:00:03.990000,-0.069,-0.769,-0.0406,0.773,walking
0 days 00:00:04,-0.207,-0.981,-0.19,1.02,walking
0 days 00:00:04.010000,-0.546,-0.961,-0.311,1.15,walking
0 days 00:00:04.020000,-1.02,-0.768,-0.374,1.33,walking
0 days 00:00:04.030000,-1.5,-0.6,-0.404,1.67,walking
0 days 00:00:04.040000,-1.9,-0.584,-0.374,2.03,walking
0 days 00:00:04.050000,-2.2,-0.719,-0.288,2.34,walking
0 days 00:00:04.060000,-2.42,-0.945,-0.129,2.6,walking
0 days 00:00:04.070000,-2.56,-1.18,0.0697,2.82,walking
0 days 00:00:04.080000,-2.62,-1.36,0.263,2.96,walking
